"Categoría","Código","Nombre","Descripción","Precio"
"Pokemones","809","Pikachu","Tamaño: 32cm","1"
"Religiosos","120","Jesús Respira","Tamaño: 40cm","1"
"Religiosos","01203","Virgen María que respira","Tamaño: 40cm","1"
"Star Wars","145","Baby Yoda","Tamaño: 24cm","1"
"Animales","0094","Caballo","Tamaño: 17cm","1"
"Animales","01105","Gato con Sonido","Tamaño: 40cm","1"
"Animales","01130","Unicornio Cute","Tamaño: 25cm","1"
"Animales","01135","Pingüino Buzo","Tamaño: 22cm","1"
"Animales","01219","Ballena Orca","Tamaño: 38cm","1"
"Animales","01213","Pato con Sonido","Tamaño: 20cm","1"
"Animales","01216","Jirafa","Tamaño: 50cm","1"
"Animales","0172","Camaleón","Tamaño: 26cm","1"
"Animales","0185","Oso Cámara","Tamaño: 23cm","1"
"Animales","0187","Cordero Flor","Tamaño: 25cm","1"
"Animales","0194","Elefante","Tamaño: 40cm","1"
"Animales","274","Conejo Pets","Tamaño: 40cm","1"
"Animales","253","Abeja","Tamaño: 30cm","1"
"Animales","61","Cerdo Pua","Tamaño: 27cm","1"
"Animales","01210","Dino Rex Toy","Tamaño: 38cm","1"
"Animales","0096","Oso Panda","Tamaño: 30cm","1"
"Animales","01115","Elefante Bebé","Tamaño: 21cm","1"
"Animales","01129","Unicornio 4","Tamaño: 30cm","1"
"Animales","01121","Gusano","Tamaño: 60cm","1"
"Animales","01131","Elefantico","Tamaño: 19cm","1"
"Animales","01211","Vaca Camisa","Tamaño: 36cm","1"
"Animales","0139","Gorila Manotas","Tamaño: 30cm","1"
"Animales","0171","Pingüino Bolso","Tamaño: 25cm","1"
"Animales","0140","Gorila Manotas P","Tamaño: 20cm","1"
"Animales","0176","Oso Dormilón","Tamaño: 22cm","1"
"Animales","0177","Cerdo Tulipán","Tamaño: 25cm","1"
"Animales","272","Pingüino Dormilón","Tamaño: 35cm","1"
"Animales","273","Mapache","Tamaño: 35cm","1"
"Animales","269","Perezoso","Tamaño: 20cm","1"
"Animales","402","Cordero Flor","Tamaño: 33cm","1"
"Animales","0009","Pingüino Corazón","Tamaño: 20cm","1"
"Animales","01137","Abeja con sonido","Tamaño: 25cm","1"
"Animales","01206","Dino Bebé","Tamaño: 20cm","1"
"Animales","01208","Gusano Peludito","Tamaño: 60cm","1"
"Animales","0188","Caballo con Silla","Tamaño: 21cm","1"
"Animales","0186","Vaca","Tamaño: 27cm","1"
"Animales","106","Pingüino Amor","Tamaño: 40cm","1"
"Animales","250","Aguacate","Tamaño: 24cm","1"
"Animales","256","Pingüino Pez","Tamaño: 45cm","1"
"Animales","814","Oso Ramo","Tamaño: 64cm","1"
"Animales","260","Burro Bebé","Tamaño: 32cm","1"
"Animales","01107","Bartolito","Tamaño: 35cm","1"
"Baby Shark","0182","Baby Shark","Tamaño: 35cm","1"
"Chimuelo","01141","Llavero Chimuelo","","1"
"Chimuelo","01141","Llavero Furia Luminosa","","1"
"Chimuelo","01112","Furia Luminosa","Tamaño: 45cm","1"
"Capybara","0175","Capybara Cobija","Tamaño: 40cm","1"
"Capybara","12","Manilla Capybara Mueve las Alitas","","1"
"Capybara","94","Cartera Capybara","","1"
"Capybara","06","Llavero Capybara Movimiento","","1"
"Capybara","05","Bolso Capybara","Tamaño: 35cm","1"
"Capybara","10","Borrador Capybara","","1"
"Capybara","401","Manilla Capybara Movimiento","","1"
"Gorro Kawai","600","Gorro Kawai con Luces y Movimiento","","1"
"Guerreras K-POP","01138","Guerrera K-POP Zoe","Tamaño: 40cm","1"
"Medias","500","Medias Españolas","","1"
"Payaso Plim Plim","0143","Payaso Plim","Tamaño: 45cm","1"
"Payaso Plim Plim","133","Payaso Plim","Tamaño: 25cm","1"
"Paw Patrol","01217","Paw Patrol","Tamaño: 35cm","1"
"Sanrio","01111","Colección Sanrio","Tamaño: 22cm","1"
"Sanrio","01222","Hello Kitty Cumple","Tamaño: 30cm","1"
"Sanrio","807","Pompompurin","Tamaño: 40cm","1"
"Sanrio","01110","Kuromi","Tamaño: 30cm","1"
"Sanrio","01215","Hello Kitty Clásico","Tamaño: 23cm","1"
"Sanrio","0189","Sanrio Invierno","Tamaño: 21cm","1"
"Sanrio","96","Cartera Sanrio","","1"
"Sanrio","01220","Llavero Hello Kitty","","1"
